Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
Nb2 P2,64.41967041868276,6.386490782004955,mp-9339,-8.7470525525,-8.7470525525,-0.989748779166665,-0.201749453482142,16.121316522517162,185.947,104.288,170.67291234841153,1.209787866652075,79621.42886281878
Y12 S18,723.0727189110529,3.775544162537922,mp-541289,-7.142698669,-7.444498669,-2.376040303541666,-0.105856059924999,24.143672733441267,65.707,30.591,22.747958735700333,0.660137166916666,4739.809724205409
Ti2 S6,162.68495804058966,2.940905935348586,mp-9920,-6.04141354375,-6.41866354375,-1.342453139427084,-0.136343782031249,20.6186724290951,14.85,8.458,5.228813206515771,0.43313697968401,1791.3224528514677
Zr2 S6,184.2948515494265,3.377376732354907,mp-9921,-6.4374569575,-6.8147069575,-1.5754443998437502,-0.18873896328125,23.090590129954943,18.634,11.217,7.420782549973219,0.42720999156189,2438.7180500149752
Hf2 S6,179.15933878368014,5.091838106156699,mp-9922,-6.78788263,-7.16513263,-1.57349797234375,-0.13923114078125,22.82658741301817,16.695,12.408,6.5363193003289535,0.364774088121743,2168.36663414477
Ba2 S6,206.5102170095424,3.755479124157988,mp-239,-4.63983457,-5.01708457,-1.43500343484375,-0.11987447328125,25.830896365891974,33.079,19.508,16.615911132930474,0.496224190041013,5257.2381023928865
Ti6 O10,177.34475447085757,4.187247780067691,mp-1147,-9.00385312625,-9.43322812625,-3.379942991875,-0.002178950000001,11.067621693813596,170.755,76.573,81.90743454804782,1.669620875586848,27264.0186715225
Re3 P4,103.48531982328348,10.95174238050606,mp-1474,-8.808047118571428,-8.808047118571428,-0.381362606904761,-0.042834678883927,14.796377212021197,183.793,136.862,142.42507101426685,1.092675942950927,56732.42687068272
Nb6 C5,136.64958724659684,7.503639389532728,mp-2760,-10.249247699090908,-10.249247699090908,-0.544596998863636,-0.163298472272726,12.42135758645176,235.464,160.992,183.6428758610463,1.621313330763579,66677.02199841948
Sr4 N4,175.12447187219615,3.854517966365493,mp-29973,-5.5366219375,-5.7171219375,-0.704127748333332,-0.003838007499999,21.87448188393748,39.109,25.771,22.546061537179185,0.622534295194861,7536.320318629522
Ti4 O8,146.7062824463116,3.615940066345404,mp-554278,-8.974109396666668,-9.432109396666666,-3.501638054444445,-0.497244283888889,12.218289550763394,180.571,60.573,81.27006150679105,1.5218140955436992,28817.33636602053
V2 P4,82.26956098784474,4.557132250455161,mp-9923,-7.248174643333333,-7.248174643333333,-0.6113376155555551,-0.068065454444443,13.715226137673524,154.817,123.748,190.33852337923216,1.681535705516352,81843.41684411769
Ce4 B16,209.69287125820887,5.80804567842936,mp-1974,-7.157877591,-7.157877591,-0.627746343333333,-0.146524152666666,10.490050151806756,,60061.749,,,
Nb6 B4,128.66034136082348,7.75263288903152,mp-20689,-9.364133852,-9.364133852,-0.631594119666667,-0.015883098000001,12.881235132519924,241.544,170.502,203.4241777368329,1.598425713932327,75357.62759436562
