Formula,Volume,Density,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature,O,N,C,B,Si,Al,Mg,Zr,Ti,Ca,Y,Hf,Fe,Na,K,Ba,Sr,Li,Be,Mn,V,Cr,Nb,Mo,W,Re,Sc,La,Ce,Th,U,Tm,Elements
Ti6 O10,177.34475447085757,4.187247780067691,-9.00385312625,-9.43322812625,-3.379942991875,-0.002178950000001,11.067621693813596,170.755,76.573,81.90743454804782,1.669620875586848,638.0648032777889,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008.77131338095,"['Ti', 'O']"
Nb6 C5,136.64958724659684,7.503639389532728,-10.249247699090908,-10.249247699090908,-0.544596998863636,-0.163298472272726,12.42135758645176,235.464,160.992,183.6428758610463,1.621313330763579,658.9031370146315,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1518.7178532352,"['Nb', 'C']"
Sr4 N4,175.12447187219615,3.854517966365493,-5.5366219375,-5.7171219375,-0.704127748333332,-0.003838007499999,21.874481883937477,39.109,25.771,22.546061537179185,0.622534295194861,304.7745617733745,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705.67188944255,"['Sr', 'N']"
Ti4 O8,146.7062824463116,3.615940066345404,-8.974109396666668,-9.432109396666666,-3.501638054444445,-0.497244283888889,12.218289550763394,180.571,60.573,81.27006150679105,1.5218140955436992,594.5842463183423,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.0044285809499,"['Ti', 'O']"
Si2 O4,94.26185405895744,2.116918419964578,-7.916263906666667,-8.374263906666666,-3.267183893333333,-3.267183893333333,15.598843489758291,35.06,33.443,39.05468203679197,1.149637360806195,517.7299913994993,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.26326883695,"['Si', 'O']"
V6 B4,99.1009311566266,5.846064720189724,-8.844793894999999,-8.844793894999999,-0.722693544666665,-0.044944920999999,9.91010918891929,257.602,199.016,262.50663549484653,2.346145694078487,892.1341008759705,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1750.9686125408,"['V', 'B']"
Y4 B16,203.72837719926437,4.308481555562305,-7.224510788000001,-7.224510788000001,-0.5877031486666661,-0.1903232792,10.187220825653858,177.419,139.258,143.42416565920016,2.24085195994483,861.0165260021605,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386.6808148102,"['Y', 'B']"
La4 B16,223.5470251460546,5.412128586733907,-6.895536307,-6.895536307,-0.564821469333333,-0.040078661333333,11.179067162146309,170.08,155.057,147.76611292758255,1.9507001232621144,782.8738664180242,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1482.6103402869498,"['La', 'B']"
Be8 B2,78.5283011904702,1.981767284490992,-4.344125785,-4.344125785,-0.016717138833332,-0.016717138833333,7.863561033329847,138.194,144.093,236.23065596303184,3.867147627466417,1398.236336228445,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1416.00916595695,"['Be', 'B']"
Zr4 N2,98.19109596030384,6.644608687428045,-9.691942243333331,-9.812275576666666,-1.334976848333333,-0.094878036666665,16.361691430457004,174.788,88.758,120.30258117686714,1.090937318643582,477.68369290005,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081.8926704102,"['Zr', 'N']"
